PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,AQI
36.62,68.8,13.91,57.1,14.03,0.67,41.57,13.84,11.73,68.8
54.97,97.68,14.84,56.43,11.56,0.55,41.84,14.13,12.12,97.68
42.23,75.48,14.62,60.65,14.65,0.58,40.98,15.1,12.69,75.48
30.54,52.22,29.45,62.3,17.01,0.49,40.32,14.52,12.65,62.3
29.4,48.13,39.92,51.56,17.51,0.6,46.55,16.47,19.9,51.56
41.46,77.77,29.8,28.12,18.82,0.58,43.24,16.75,29.43,77.77
39.39,78.35,31.09,28.03,18.76,0.5,23.82,16.79,30.11,78.35
34.78,79.97,31.09,28.45,17.75,0.42,31.1,17.54,30.75,79.97
40.41,106.91,30.13,28,19.31,0.44,20.23,16.63,29.43,106.91
47.19,110.66,30.14,28.05,15.81,0.63,31.36,16.74,29.54,110.66
55.23,105.3,38.02,29.9,7.21,0.85,9.84,17.81,34.09,105.3
45.58,92.06,43.32,32.23,7.54,0.68,52.44,17.17,36.9,92.06
50.25,90.78,58.14,33.4,8.73,0.77,24.19,17.59,45.1,90.78
50.45,97.31,61.65,33.4,7.96,1.43,37.58,18.25,47.43,97.31
34.84,73.32,50.12,32.93,8.33,0.68,69.8,16.73,40.14,73.32
27.64,58.21,49.44,33.01,6.12,0.65,85.39,17.31,40.27,85.39
29.9,64.55,51.13,33.19,7.26,0.6,81.83,18.05,41.68,81.83
44.91,96.26,56.11,33.66,10.21,0.85,55.21,19.45,45.42,96.26
54.35,103.43,63.24,34.28,13.01,0.84,61.28,21.32,50.62,103.43
73.65,120.12,55.93,33.64,11.46,1.13,54.7,19.85,45.75,120.12
70.07,99.53,55.09,33.42,9.77,1.01,58.78,18.75,44.33,99.53
64.95,88.99,50.25,33.1,7.59,1.01,41.47,17.65,40.97,88.99
42.48,72.99,49.24,33.05,7.11,0.77,43.43,17.49,40.31,72.99
34.52,56.81,47.03,32.78,11.13,1.08,42.99,17.4,39.05,56.81
22.46,46.34,49.44,32.89,9.83,0.76,33.27,18.1,40.91,49.44
23.32,46.96,47.41,33.2,10.71,0.81,35.28,17.72,39.54,47.41
21.68,33.99,49.53,33,8.92,0.57,36.38,18.35,41.14,49.53
22.83,36.2,43.03,28.64,8.11,1.21,3.65,16.34,36,43.03
43.62,89.28,18.88,20.36,13.3,1,8.8,11.43,19.15,89.28
64.52,126.56,16.06,18.88,11.14,1.63,20.44,11.29,17.33,126.56
88.67,158.47,18.89,19.99,12.6,1.66,9.37,9.78,17.9,158.47
81,144,22,20.4,13.4,3.1,1.2,9.5,19.5,144
